****************************************
** Coordinates                        **
****************************************
*******************************
** Non-Development Zones     **
*******************************
C    1143, 463279.00, 311535.00
C    1144, 464074.00, 312298.00
C    1145, 458087.00, 312933.00
C    1146, 460789.00, 313411.00
C    1147, 462689.00, 311873.00
C    1148, 454903.00, 313086.00
C    1149, 450424.00, 311801.00
C    1150, 460568.00, 313672.00
C    1151, 458515.00, 313927.00
C    1152, 450726.00, 310147.00
C    1153, 458809.00, 314216.00
C    1154, 463052.00, 314503.00
C    1155, 457502.00, 313890.00
C    1156, 458365.00, 314357.00
C    1157, 464070.00, 313456.00
C    1158, 460554.00, 314993.00
C    1159, 468745.00, 310235.00
C    1160, 452281.00, 313299.00
C    1161, 452862.00, 314470.00
C    1162, 457447.00, 315426.00
C    1163, 455908.00, 316433.00
C    1164, 459908.00, 315317.00
C    1165, 464963.00, 314441.00
C    1166, 457628.00, 316900.00
C    1167, 460638.00, 315816.00
C    1168, 464763.00, 315853.00
C    1169, 456042.00, 316940.00
C    1170, 458816.00, 316867.00
C    1171, 457638.00, 317992.00
C    1172, 461712.00, 317951.00
C    1173, 457886.00, 317492.00
C    1174, 454340.00, 317442.00
C    1175, 451656.00, 317454.00
C    1176, 459123.00, 321372.00
C    1177, 458812.00, 321299.00
C    1178, 450020.00, 317506.00
C    1179, 448066.00, 317620.00
C    1180, 450619.00, 318086.00
C    1181, 455623.00, 321269.00
C    1182, 447061.00, 317943.00
C    1183, 460405.00, 323464.00
C    1184, 449074.00, 320479.00
C    1185, 447899.00, 318786.00
C    1186, 457520.00, 322720.00
C    1187, 446886.00, 318970.00
C    1188, 448557.00, 319476.00
C    1189, 448183.00, 320025.00
C    1190, 449375.00, 321210.00
C    1191, 447158.00, 319473.00
C    1192, 448055.00, 320376.00
C    1193, 450267.00, 322266.00
C    1194, 449995.00, 321990.00
C    1195, 447934.00, 320132.00
C    2001, 472861.00, 319026.00
C    2002, 473703.00, 317716.00
C    2003, 474420.00, 317880.00
C    2004, 474527.00, 318876.00
C    2005, 474758.00, 317740.00
C    2006, 474412.00, 318168.00
C    2007, 474593.00, 318347.00
C    2008, 475250.00, 317520.00
C    2009, 474037.00, 319180.00
C    2010, 475019.00, 318274.00
C    2011, 475218.00, 317784.00
C    2012, 474904.00, 318632.00
C    2013, 474712.00, 318807.00
C    2014, 475961.00, 317488.00
C    2015, 475175.00, 318418.00
C    2016, 475586.00, 317820.00
C    2017, 473601.00, 320020.00
C    2018, 475502.00, 318297.00
C    2019, 474378.00, 319784.00
C    2020, 475389.00, 318502.00
C    2021, 474551.00, 319457.00
C    2022, 475909.00, 318076.00
C    2023, 474771.00, 319425.00
C    2024, 475177.00, 319090.00
C    2025, 475330.00, 318888.00
C    2026, 475106.00, 319223.00
C    2027, 476143.00, 318506.00
C    2028, 474157.00, 320274.00
C    2029, 475487.00, 319045.00
C    2030, 474572.00, 320116.00
C    2031, 475654.00, 318874.00
C    2032, 475023.00, 319746.00
C    2033, 474928.00, 319762.00
C    2034, 475212.00, 319207.00
C    2035, 475359.00, 319164.00
C    2036, 474401.00, 320330.00
C    2037, 474372.00, 320483.00
C    2038, 475231.00, 319453.00
C    2039, 475684.00, 319066.00
C    2040, 475433.00, 319318.00
C    2041, 474984.00, 319865.00
C    2042, 475589.00, 319246.00
C    2043, 475291.00, 319688.00
C    2044, 474569.00, 320446.00
C    2045, 474935.00, 320106.00
C    2046, 474316.00, 320741.00
C    2047, 474928.00, 320226.00
C    2048, 475708.00, 319415.00
C    2049, 475388.00, 320060.00
C    2050, 475945.00, 319257.00
C    2051, 475091.00, 320410.00
C    2052, 475467.00, 319885.00
C    2053, 474808.00, 320606.00
C    2054, 475591.00, 319772.00
C    2055, 475342.00, 320365.00
C    2056, 475899.00, 319637.00
C    2057, 475767.00, 320145.00
C    2058, 476387.00, 319720.00
C    2059, 475475.00, 320596.00
C    2060, 476182.00, 319991.00
C    2061, 475447.00, 320869.00
C    2062, 476309.00, 320421.00
C    2101, 469440.00, 312626.00
C    2102, 466996.00, 317478.00
C    2103, 473172.00, 310770.00
C    2104, 469592.00, 317662.00
C    2105, 471747.00, 317753.00
C    2106, 477954.00, 310399.00
C    2107, 474474.00, 314445.00
C    2108, 470625.00, 319186.00
C    2109, 468386.00, 321093.00
C    2110, 467469.00, 323580.00
C    2111, 473714.00, 316948.00
C    2112, 472635.00, 320527.00
C    2113, 472443.00, 319077.00
C    2114, 474779.00, 316634.00
C    2115, 475062.00, 316806.00
C    2116, 472490.00, 323238.00
C    2117, 476929.00, 316984.00
C    2118, 473543.00, 320474.00
C    2119, 473912.00, 321214.00
C    2120, 476575.00, 319289.00
C    2121, 474017.00, 320674.00
C    2122, 474280.00, 321085.00
C    2123, 485185.00, 318572.00
C    2124, 475145.00, 321096.00
C    2125, 475369.00, 321363.00
C    2126, 477086.00, 321149.00
C    2127, 476545.00, 321811.00
C    2128, 476310.00, 324032.00
C    2129, 473587.00, 329269.00
C    2130, 479857.00, 329097.00
C    2131, 480348.00, 324993.00
C    2132, 478144.00, 334897.00
C    2133, 480391.00, 339033.00
C    3001, 471760.00, 287604.00
C    3002, 472399.00, 287956.00
C    3003, 472809.00, 288404.00
C    3004, 473283.00, 288431.00
C    3005, 472915.00, 288144.00
C    3006, 472803.00, 287746.00
C    3007, 472541.00, 287674.00
C    3008, 472187.00, 287055.00
C    3009, 473103.00, 287787.00
C    3010, 472650.00, 287251.00
C    3011, 473488.00, 287978.00
C    3012, 472691.00, 287556.00
C    3013, 472550.00, 286690.00
C    3014, 473923.00, 288124.00
C    3015, 472996.00, 287302.00
C    3016, 473207.00, 287371.00
C    3017, 473884.00, 287908.00
C    3018, 473333.00, 287493.00
C    3019, 473700.00, 287661.00
C    3020, 473161.00, 287088.00
C    3021, 473468.00, 287330.00
C    3022, 473452.00, 286846.00
C    3023, 472324.00, 286162.00
C    3024, 474466.00, 287747.00
C    3025, 472937.00, 286589.00
C    3026, 473924.00, 287575.00
C    3027, 473815.00, 287332.00
C    3028, 473662.00, 287051.00
C    3029, 472961.00, 286103.00
C    3030, 473534.00, 286507.00
C    3031, 474187.00, 287220.00
C    3032, 474497.00, 287143.00
C    3033, 472614.00, 285983.00
C    3034, 474348.00, 286878.00
C    3035, 473912.00, 286811.00
C    3036, 473718.00, 286239.00
C    3037, 474895.00, 287483.00
C    3038, 474727.00, 287302.00
C    3039, 474753.00, 287006.00
C    3040, 474054.00, 285873.00
C    3041, 474491.00, 286899.00
C    3042, 475035.00, 287066.00
C    3101, 453652.00, 285867.00
C    3102, 454744.00, 285710.00
C    3103, 454299.00, 285716.00
C    3104, 454425.00, 285288.00
C    3105, 453817.00, 285166.00
C    3106, 454661.00, 285169.00
C    3107, 453917.00, 284990.00
C    3108, 454638.00, 284646.00
C    3109, 453225.00, 284694.00
C    3110, 453498.00, 284975.00
C    3111, 454310.00, 284954.00
C    3112, 454155.00, 284773.00
C    3113, 454387.00, 284849.00
C    3114, 453573.00, 284776.00
C    3115, 454220.00, 284433.00
C    3116, 454561.00, 284355.00
C    3117, 454085.00, 284499.00
C    3118, 453794.00, 284587.00
C    3119, 453624.00, 284587.00
C    3120, 453252.00, 284441.00
C    3121, 453574.00, 284389.00
C    3122, 454463.00, 284138.00
C    3123, 453874.00, 284318.00
C    3124, 453747.00, 284087.00
C    3125, 453316.00, 284121.00
C    3126, 452919.00, 283891.00
C    3127, 453734.00, 282244.00
C    3201, 463556.00, 302532.00
C    3202, 464297.00, 302202.00
C    3203, 464950.00, 303921.00
C    3204, 464781.00, 304519.00
C    3205, 464903.00, 305832.00
C    3206, 464567.00, 305254.00
C    3207, 465662.00, 305886.00
C    3208, 465458.00, 304255.00
C    3209, 467875.00, 303592.00
C    3210, 467782.00, 298034.00
C    3211, 465465.00, 298140.00
C    3212, 463949.00, 296615.00
C    3213, 469211.00, 307242.00
C    3214, 469580.00, 300996.00
C    3215, 465933.00, 298275.00
C    3216, 459488.00, 292580.00
C    3217, 461695.00, 292141.00
C    3218, 452141.00, 293549.00
C    3219, 471946.00, 302912.00
C    3220, 464966.00, 292999.00
C    3221, 464563.00, 293827.00
C    3222, 466768.00, 295005.00
C    3223, 453320.00, 293369.00
C    3224, 466845.00, 293913.00
C    3225, 456206.00, 290569.00
C    3226, 453641.00, 290198.00
C    3227, 453375.00, 292299.00
C    3228, 467604.00, 294507.00
C    3229, 452185.00, 293104.00
C    3230, 465779.00, 291834.00
C    3231, 452303.00, 292834.00
C    3232, 460447.00, 289896.00
C    3233, 452979.00, 291964.00
C    3234, 467880.00, 292743.00
C    3235, 473144.00, 300277.00
C    3236, 472703.00, 294521.00
C    3237, 469443.00, 293199.00
C    3238, 476122.00, 300937.00
C    3239, 474126.00, 305804.00
C    3240, 450462.00, 290706.00
C    3241, 464925.00, 289029.00
C    3242, 467390.00, 289605.00
C    3243, 457152.00, 287826.00
C    3244, 459733.00, 287105.00
C    3245, 475898.00, 295132.00
C    3246, 453029.00, 286909.00
C    3247, 450648.00, 287904.00
C    3248, 470135.00, 290028.00
C    3249, 454470.00, 286756.00
C    3250, 455390.00, 286038.00
C    3251, 468006.00, 286850.00
C    3252, 461786.00, 283414.00
C    3253, 456870.00, 283786.00
C    3254, 474605.00, 288699.00
C    3255, 479051.00, 296413.00
C    3256, 455194.00, 285191.00
C    3257, 474385.00, 288956.00
C    3258, 470429.00, 289109.00
C    3259, 472117.00, 288955.00
C    3260, 470286.00, 287339.00
C    3261, 472938.00, 289572.00
C    3262, 450970.00, 285159.00
C    3263, 470594.00, 287285.00
C    3264, 451443.00, 283781.00
C    3265, 456930.00, 279465.00
C    3266, 454445.00, 280192.00
C    3267, 475006.00, 287918.00
C    3268, 475314.00, 287436.00
C    3269, 455281.00, 278299.00
C    3270, 450614.00, 285532.00
C    3271, 449848.00, 286265.00
C    3272, 451864.00, 283379.00
C    3273, 455623.00, 284862.00
C    3274, 455308.00, 283631.00
C    3275, 472879.00, 292456.00
C    3276, 467938.00, 294531.00
C    3277, 467887.00, 294158.00
C    3278, 469045.00, 293892.00
C    3279, 467660.00, 295369.00
C    3280, 468323.50, 295223.20
C    3281, 469024.10, 294378.10
C    3282, 469444.00, 293831.00
C    4001, 461391.00, 302209.00
C    4002, 461547.00, 302266.00
C    4003, 461416.00, 301840.00
C    4004, 462008.00, 301997.00
C    4005, 462487.00, 301978.00
C    4006, 462022.00, 301330.00
